YEAR,JANUARY,FEBUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVERMBER,DECEMBER
2013,0,0,0,0,137.1,129.5,176.8,299.4,190.3,195.8,0,0
2014,0,0,48.4,78.5,224.2,199.1,245.5,346.8,230.9,83.2,0,0
2015,0,0,0,46.3,193.9,172.2,237.5,281.4,181.5,56.6,0,0
2016,0,0,0,49.7,311.9,14.6,481.8,153.9,201,92.5,0,0
2017,0,0,1,126.6,127.1,172.1,333.8,161,143.8,70.7,0,0
2018,0,4.8,16.6,247.2,139.5,191.4,248.6,140.2,191.2,70.2,0,0
2019,0,37.6,20.3,8.8,146.5,186.4,264.7,331.8,195.2,23,0,0
2020,0,0,22,20.1,190.7,197.6,188.4,200.6,152.3,3,0,0
2021,0,0,11.7,21.4,206.3,319.2,244.6,246.3,223.8,147.6,0,0
2022,0,33.4,44.9,65.7,270.9,236.1,323.2,187.5,109.1,67.5,0,0
